Questions,Answers,Type,Ask,QueryUser?,
rr For I am not ashamed of the gospel,1:16,8,,0,
rr for it is the power of God for salvation to everyone who believes,1:16,8,,0,
rr to the Jew first and also to the Greek,1:16,8,,0,
the subordination of one clause to another,hypotaxis,8,,0,
rr everyone who believes,"1:16; 3:22; 4:11; 10:4, 11",8,,1,
rr I am under obligation,1:14,7,,0,
"Greek for ""serve""",latreuo,8,,0,
rr For the wrath of God is revealed from heaven,1:18,9,,0,
rr against all ungodliness and unrighteousness of men,1:18,9,,0,
rr who by their unrighteousness suppress the truth,1:18,9,,0,
esv: For the wrath of God is revealed from heaven against all ungodliness and unrighteousness of men who by their unrighteousness suppress the truth,blanks,9,,0,
"Moo's translation of ""plain to them"" (v19)",manifest among them,9,,0,
"Moo's translation of ""shown it"" (v19)",made it manifest,9,,0,
1:19 first and last words,"for, them",9,,0,
"esv: For what can be known about God is plain to them, because God has shown it to them",blanks,9,,0,
"Moo's translation of ""divine nature""",deity,9,,0,
1:20 first and last words,"For, excuse",9,,0,
"esv: For his invisible attributes, namely, his eternal power and divine nature, have been clearly perceived, ever since the creation of the world",blanks,9,,0,
"esv: ever since the creation of the world, in the things that have been made.  So they are without excuse",blanks,9,,0,
"Gk for ""honor""",ed(o)xasan,9,,0,
"Moo's translation of ""honor him as God""",glorify Him as God,9,,0,
1:21a first and last words,"for, him",9,,0,
"esv: For although they knew God, they did not honor him as God or give thanks to him",blanks,9,,0,
rr they became,"1:21b, 22",9,,0,
rr futile in their thinking,1:21b,9,,0,
rr foolish hearts,1:21b,9,,0,
rr darkened,1:21b,9,,0,
"Moo's translation of ""thinking""",reasonings,9,,0,
"Moo's translation of ""foolish hearts were darkened""","hearts, lacking understanding, were darkened",9,,0,
1:21b first and last words,"But, darkened",9,,0,
esv: But they became futile in their thinking and their foolish hearts were darkened,blanks,9,,0,
"rr Claiming to be wise, they became fools",1:22,9,,0,
"Moo's translation of ""claiming to be""",supposing themselves to be,9,,0,
"esv: Claiming to be wise, they became fools",blanks,9,,0,
rr and exchanged the glory,1:23,9,,0,
rr glory of the immortal God,1:23,9,,0,
rr for images resembling mortal man,1:23,9,,0,
rr birds and animals and creeping things,1:23,9,,0,
"Moo's translation of ""images resembling""",the likeness of the image of,9,,0,
1:23 first and last words,"and, things",9,,0,
esv: and exchanged the glory of the immortal God for images resembling mortal man and birds and animals and creeping things,blanks,9,,0,
rr God gave them up,"1:24, 26, 28",9,,0,
rr in the lusts of their hearts to impurity,1:24,9,,0,
rr the dishonoring of their bodies among themselves,1:24,9,,0,
"Gk for ""dishonoring""",atim(a)zesthai,9,,0,
"Moo's translation of ""lusts"" (v24)",passions,9,,0,
