Questions,Answers,Type,Ask,QueryUser?,
PFLN - 3:9a,"just, What, all, For",31,0,0,
"pick3: What then? Are we Jews any better off? No, not at all. ",3:9a,31,0,0,
"Identity of the first person pural in 3:9 #Am I Paul making an excuse for the Jews=Morison,BAGD#Are we Jews trying to excuse ourselves=Godet, Stuhlmacher#Are we Jews surpassed [by them]=S-H; Lightfoot, Black, Fitzmyer, Stowers#Do we Jews have an advantage=Most commentators,most EVV",persons,31,0,0,
"esv: Their condemnation is just.  What then? Are we Jews any better off? No, not at all.",blanks,31,0,0,
PFLN - 3:9b,"all, For, sin, as",31,0,0,
"pick3: For we have already charged that all, both Jews and Greeks, are under sin",3:9b,31,0,0,
"esv: What then? Are we Jews any better off? No, not at all.  For we have already charged that all, both Jews and Greeks, are under sin",blanks,31,0,0,
PFLN - 3:10,"sin, as, one, no",31,0,0,
"pick3: ~as ~it ~is ~written: ""None is righteous, no, not one;",3:10,31,0,0,
pick3: as it is written,"1:17b; 2:24; 3:4a, 10",31,0,0,
"esv: For we have already charged that all, both Jews and Greeks, are under sin. as it is written: ""None is righteous, no, not one;",blanks,31,0,0,
PFLN - 3:11,"one, no, God, All",31,0,0,
pick3: no one understands; no one seeks for God.,3:11,31,0,0,
"esv: as it is written: ""None is righteous, no, not one; no one understands; no one seeks for God.",blanks,31,0,0,
PFLN - 3:12a,"God, All, worthless, No",31,0,0,
pick3: All have turned aside; together they have become worthless;,3:12a,31,0,0,
"esv: no one understands; no one seeks for God. All have turned aside; together they have become worthless; no one does good, not even one.""",blanks,31,0,0,
PFLN - 3:12b,"Worthless, no, one, Their",31,0,0,
"pick3: no one does good, not even one.""",3:12b,31,0,0,
"#SHORT_VERSE_REPEAT#esv: no one understands; no one seeks for God. All have turned aside; together they have become worthless; no one does good, not even one.""",blanks,31,0,0,
PFLN - 3:13a,"one, Their, deceive, The",31,0,0,
"pick3: ""Their throat is an open grave; they use their tongues to deceive.""",3:13a,31,0,0,
"esv: All have turned aside; together they have become worthless; no one does good, not even one."" ""Their throat is an open grave; they use their tongues to deceive."" ""The venom of asps is under their lips.""",blanks,31,0,0,
PFLN - 3:13b,"deceive, The, lips, Their",31,0,0,
"pick3: ""The venom of asps is under their lips.""",3:13b,31,0,0,
"#SHORT_VERSE_REPEAT#esv: All have turned aside; together they have become worthless; no one does good, not even one."" ""Their throat is an open grave; they use their tongues to deceive."" ""The venom of asps is under their lips.""",blanks,31,0,0,
PFLN - 3:14,"lips, Their, bitterness, Their",31,0,0,
"pick3: ""Their mouth is full of curses and bitterness.""",3:14,31,0,0,
"esv: ""Their throat is an open grave; they use their tongues to deceive."" ""The venom of asps is under their lips."" ""Their mouth is full of curses and bitterness.""",blanks,31,0,0,
PFLN - 3:15,"bitterness, Their, blood, in",31,0,0,
"pick3: ""Their feet are swift to shed blood;",3:15,31,0,0,
"esv: ""Their mouth is full of curses and bitterness."" ""Their feet are swift to shed blood;",blanks,31,0,0,
PFLN - 3:16,"blood, in, misery, and",31,0,0,
"pick3: in their paths are ruin and misery,",3:16,31,0,0,
"esv: ""Their feet are swift to shed blood; in their paths are ruin and misery,",blanks,31,0,0,
PFLN - 3:17,"misery, and, known, There",31,0,0,
"pick3: and the way of peace they have not known.""",3:17,31,0,0,
"esv: in their paths are ruin and misery, and the way of peace they have not known.""",blanks,31,0,0,
PFLN - 3:18,"known, There, eyes, Now",31,0,0,
"pick3: ""There is no fear of God before their eyes.""",3:18,31,0,0,
"esv: and the way of peace they have not known."" ""There is no fear of God before their eyes.""",blanks,31,0,0,
PFLN - 3:19a,"eyes, Now, law, So",31,0,0,
"pick3: Now ~we know that whatever the law says it speaks to those who are under the law, ",3:19a,31,0,0,
pick3: we know that,2:2; 3:19a,31,0,0,
"esv: ""There is no fear of God before their eyes."" Now we know that whatever the law says it speaks to those who are under the law, ",blanks,31,0,0,
PFLN - 3:19b,"law, So, God, For",31,0,0,
"pick3: so that every mouth may be stopped, and the whole world may be held accountable to God.",3:19b,31,0,0,
"esv: Now we know that whatever the law says it speaks to those who are under the law, so that every mouth may be stopped, and the whole world may be held accountable to God.",blanks,31,0,0,
PFLN - 3:20a,"God, For, sight, since",31,0,0,
pick3: For by works of the law no human being will be justified in his sight,3:20a,31,0,0,
